bustabit-tiny-hot-wallet_peak-and-tail,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#NegEffVal spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
BnB + KS + SRD,15.02854174,34.12,24,10076,14438,5005,9,4386,bnb: **564** ; knapsack: **55** ; Total: **619**,0.00000317,9.99483235,0.24240918,0.87016100,0.10647513,0.00002127,0.00016320,0.10663833,1,41,2.88,3.36,knapsack: **3598** ; srd: **843** ; bnb: **564**
BnB + KS + SRD,15.02847989,32.77,22,10076,14461,5005,10,4407,bnb: **533** ; knapsack: **65** ; Total: **598**,0.00000317,9.98984289,0.26247129,0.92959552,0.10653698,0.00002129,0.00014960,0.10668658,1,42,2.89,3.33,knapsack: **3624** ; srd: **848** ; bnb: **533**
BnB + KS + SRD,15.02775683,33.42,19,10076,14467,5005,9,4410,bnb: **545** ; knapsack: **50** ; Total: **595**,0.00000317,9.80646291,0.23219023,0.87996257,0.10726004,0.00002143,0.00012920,0.10738924,1,36,2.89,3.33,knapsack: **3617** ; srd: **843** ; bnb: **545**
BnB + KS + SRD,15.02769184,34.11,23,10076,14430,5005,6,4377,bnb: **581** ; knapsack: **47** ; Total: **628**,0.00000294,9.98895496,0.22730430,0.85719627,0.10732503,0.00002144,0.00015640,0.10748143,1,52,2.88,3.33,knapsack: **3576** ; srd: **848** ; bnb: **581**
BnB + KS + SRD,15.02713110,32.30,19,10076,14460,5005,8,4403,bnb: **555** ; knapsack: **47** ; Total: **602**,0.00000315,14.09023308,0.28610168,1.07935620,0.10788577,0.00002156,0.00012920,0.10801497,1,50,2.89,3.35,knapsack: **3573** ; srd: **877** ; bnb: **555**
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
bustabit-tiny-hot-wallet_2019-2020-per-day,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#NegEffVal spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
BnB + KS + SRD,14.63943937,136.46,153,10076,13270,5005,6,3347,bnb: **1603** ; knapsack: **55** ; Total: **1658**,0.00000769,9.91998190,0.30086750,0.91366699,0.49557750,0.00009902,0.00104040,0.49661790,1,132,2.65,4.16,knapsack: **999** ; bnb: **1603** ; srd: **2403**
BnB + KS + SRD,14.63815318,133.24,113,10076,13289,5005,6,3326,bnb: **1622** ; knapsack: **57** ; Total: **1679**,0.00000615,9.98987366,0.28255262,0.80004988,0.49686369,0.00009927,0.00076840,0.49763209,1,96,2.66,4.13,knapsack: **1027** ; bnb: **1622** ; srd: **2356**
BnB + KS + SRD,14.63657837,136.24,126,10076,13281,5005,7,3331,bnb: **1628** ; knapsack: **46** ; Total: **1674**,0.00000940,9.86796457,0.29950004,0.90175785,0.49843850,0.00009959,0.00085680,0.49929530,1,114,2.65,4.15,knapsack: **986** ; bnb: **1628** ; srd: **2391**
BnB + KS + SRD,14.63528495,140.49,130,10076,13263,5005,5,3317,bnb: **1634** ; knapsack: **54** ; Total: **1688**,0.00000814,9.98618547,0.31933683,0.93546221,0.49973192,0.00009985,0.00088400,0.50061592,1,118,2.65,4.00,knapsack: **982** ; bnb: **1634** ; srd: **2389**
BnB + KS + SRD,14.63200303,121.46,132,10076,13314,5005,6,3370,bnb: **1574** ; knapsack: **61** ; Total: **1635**,0.00000831,9.95698160,0.35708094,1.05713545,0.50301384,0.00010050,0.00089760,0.50391144,1,99,2.66,3.84,srd: **2444** ; knapsack: **987** ; bnb: **1574**
BnB + KS + SRD + SRDLTD,14.69100371,263.89,314,10076,13333,5005,6,3571,bnb: **1394** ; knapsack: **40** ; Total: **1434**,0.00000956,9.56538075,0.30270427,0.92537283,0.44401316,0.00008871,0.00213520,0.44614836,1,172,2.66,5.41,knapsack: **772** ; bnb: **1394** ; srd: **1510** ; srdltd: **1329**
BnB + KS + SRD + SRDLTD,14.69027637,250.08,306,10076,13362,5005,6,3592,bnb: **1376** ; knapsack: **37** ; Total: **1413**,0.00000570,9.85315696,0.31405083,0.96133158,0.44474050,0.00008886,0.00208080,0.44682130,1,193,2.67,5.82,knapsack: **766** ; bnb: **1376** ; srd: **1553** ; srdltd: **1310**
BnB + KS + SRD + SRDLTD,14.69026578,255.33,327,10076,13332,5005,6,3583,bnb: **1384** ; knapsack: **38** ; Total: **1422**,0.00000956,9.49986452,0.32489313,0.97508058,0.44475109,0.00008886,0.00222360,0.44697469,1,223,2.66,5.94,knapsack: **784** ; bnb: **1384** ; srdltd: **1282** ; srd: **1555**
BnB + KS + SRD + SRDLTD,14.69004013,249.75,311,10076,13349,5005,6,3584,bnb: **1388** ; knapsack: **33** ; Total: **1421**,0.00001038,9.79693091,0.31834164,0.96197189,0.44497674,0.00008891,0.00211480,0.44709154,1,173,2.67,5.67,knapsack: **779** ; bnb: **1388** ; srd: **1555** ; srdltd: **1283**
BnB + KS + SRD + SRDLTD,14.68932069,258.02,304,10076,13350,5005,6,3578,bnb: **1389** ; knapsack: **38** ; Total: **1427**,0.00000956,9.85315696,0.32405289,0.99356247,0.44569618,0.00008905,0.00206720,0.44776338,1,220,2.67,5.91,srdltd: **1319** ; knapsack: **745** ; bnb: **1389** ; srd: **1552**
BnB + KS + SRDLTD,14.68177906,334.99,342,10076,13106,5005,6,3372,bnb: **1598** ; knapsack: **35** ; Total: **1633**,0.00000956,9.59751924,0.31340840,0.95774260,0.45323781,0.00009056,0.00232560,0.45556341,1,118,2.62,4.56,knapsack: **754** ; bnb: **1598** ; srdltd: **2653**
BnB + KS + SRDLTD,14.68178386,330.40,358,10076,13118,5005,6,3400,bnb: **1559** ; knapsack: **46** ; Total: **1605**,0.00000821,9.85315696,0.33421467,1.01370226,0.45323301,0.00009056,0.00243440,0.45566741,1,122,2.62,4.56,knapsack: **777** ; bnb: **1559** ; srdltd: **2669**
BnB + KS + SRDLTD,14.68186088,346.92,400,10076,13068,5005,6,3392,bnb: **1558** ; knapsack: **55** ; Total: **1613**,0.00000860,9.72303073,0.33707588,1.03703676,0.45315599,0.00009054,0.00272000,0.45587599,1,138,2.61,4.42,knapsack: **808** ; bnb: **1558** ; srdltd: **2639**
BnB + KS + SRDLTD,14.68165300,341.77,400,10076,13053,5005,6,3377,bnb: **1582** ; knapsack: **46** ; Total: **1628**,0.00000956,9.82263806,0.32866567,1.01262061,0.45336387,0.00009058,0.00272000,0.45608387,1,142,2.61,4.76,knapsack: **813** ; bnb: **1582** ; srdltd: **2610**
BnB + KS + SRDLTD,14.68081825,324.18,349,10076,13129,5005,6,3402,bnb: **1550** ; knapsack: **53** ; Total: **1603**,0.00000956,9.49986452,0.31135173,0.96434032,0.45419862,0.00009075,0.00237320,0.45657182,1,200,2.62,5.06,knapsack: **803** ; bnb: **1550** ; srdltd: **2652**
BnB + SRD + SRDLTD,14.69208729,273.17,370,10076,13239,5005,0,3533,bnb: **1472** ; Total: **1472**,0.00050453,9.85315696,0.34856810,1.04848963,0.44292958,0.00008850,0.00251600,0.44544558,1,220,2.65,6.03,srd: **2182** ; bnb: **1472** ; srdltd: **1351**
BnB + SRD + SRDLTD,14.69051982,277.69,327,10076,13259,5005,0,3510,bnb: **1495** ; Total: **1495**,0.00050700,9.54934988,0.32405905,0.94885118,0.44449705,0.00008881,0.00222360,0.44672065,1,222,2.65,6.12,srd: **2112** ; bnb: **1495** ; srdltd: **1398**
BnB + SRD + SRDLTD,14.69073554,276.51,372,10076,13228,5005,0,3524,bnb: **1481** ; Total: **1481**,0.00050222,9.89059290,0.33154176,0.98078535,0.44428133,0.00008877,0.00252960,0.44681093,1,167,2.64,5.59,srd: **2146** ; bnb: **1481** ; srdltd: **1378**
BnB + SRD + SRDLTD,14.69053628,260.63,349,10076,13274,5005,0,3547,bnb: **1458** ; Total: **1458**,0.00050455,9.49986452,0.34037210,0.97850660,0.44448059,0.00008881,0.00237320,0.44685379,1,169,2.65,5.83,srd: **2137** ; bnb: **1458** ; srdltd: **1410**
BnB + SRD + SRDLTD,14.68998888,279.18,321,10076,13266,5005,0,3511,bnb: **1494** ; Total: **1494**,0.00052971,9.85315696,0.34354536,1.00755847,0.44502799,0.00008892,0.00218280,0.44721079,1,195,2.65,5.55,srdltd: **1386** ; srd: **2125** ; bnb: **1494**
BnB + SRDLTD,14.67911867,378.32,442,10076,12935,5005,0,3301,bnb: **1704** ; Total: **1704**,0.00050366,9.97390835,0.37462080,1.12875275,0.45589820,0.00009109,0.00300560,0.45890380,1,147,2.58,4.49,srdltd: **3301** ; bnb: **1704**
