----BEGIN SIMULATION RESULTS----
Scenario: bustabit-2019-2020-tiny.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | Usage |
| bustabit-2019-2020-tiny.csv | 422.07448529 | 588.375230769 | 1409 | 4678 | 4326 | 1822 | 4 | 1056 | bnb: **739** ; knapsack: **27** ; Total: **766** | 0.00001106 | 7.99987266 | 0.203831534602 | 0.459012961703 | 0.16874602 | 0.0000926158177827 | -0.000958120000 | 0.167787900000 | 1 | 62 | 2.37431394072 | 2.91643809184 | knapsack: **598** ; srd: **485** ; bnb: **739** |
| bustabit-2019-2020-tiny.csv | 462.24749444 | 648.256857143 | 1449 | 5022 | 4711 | 1978 | 4 | 1137 | bnb: **813** ; knapsack: **28** ; Total: **841** | 0.00001106 | 7.99987266 | 0.204299588144 | 0.450969141493 | 0.17894024 | 0.0000904652376138 | -0.000985320000 | 0.177954920000 | 1 | 62 | 2.38169868554 | 2.87936666626 | knapsack: **628** ; srd: **537** ; bnb: **813** |
| bustabit-2019-2020-tiny.csv | 448.10893435 | 706.444800000 | 1592 | 5373 | 5004 | 2127 | 4 | 1222 | bnb: **873** ; knapsack: **32** ; Total: **905** | 0.00001106 | 7.99987266 | 0.213752955687 | 0.459738840416 | 0.19656444 | 0.0000924139351199 | -0.00108256000 | 0.19548188000 | 1 | 62 | 2.35260930889 | 2.81872710495 | knapsack: **652** ; srd: **602** ; bnb: **873** |
| bustabit-2019-2020-tiny.csv | 440.08081581 | 760.421000000 | 1599 | 5662 | 5427 | 2338 | 4 | 1363 | bnb: **942** ; knapsack: **33** ; Total: **975** | 0.00000713 | 7.99987266 | 0.212803077307 | 0.447454435308 | 0.21490146 | 0.0000919167921300 | -0.00108732000 | 0.21381414000 | 1 | 62 | 2.32121471343 | 2.73972720472 | knapsack: **691** ; srd: **705** ; bnb: **942** |
| bustabit-2019-2020-tiny.csv | 448.55237508 | 810.629764706 | 1644 | 5993 | 5819 | 2507 | 4 | 1469 | bnb: **998** ; knapsack: **40** ; Total: **1038** | 0.00000713 | 7.99987266 | 0.206276869421 | 0.436975603033 | 0.22442489 | 0.0000895193019545 | -0.00111792000 | 0.22330697000 | 1 | 62 | 2.32110091743 | 2.70278991573 | knapsack: **755** ; srd: **754** ; bnb: **998** |
| bustabit-2019-2020-tiny.csv | 455.18484819 | 861.504777778 | 1765 | 6301 | 6135 | 2699 | 4 | 1598 | bnb: **1060** ; knapsack: **41** ; Total: **1101** | 0.00000713 | 7.99987266 | 0.211042027228 | 0.437208034420 | 0.24389126 | 0.0000903635642831 | -0.00120020000 | 0.24269106000 | 1 | 62 | 2.27306409781 | 2.63928184517 | knapsack: **784** ; srd: **855** ; bnb: **1060** |
| bustabit-2019-2020-tiny.csv | 458.10616413 | 909.876421053 | 1810 | 6598 | 6520 | 2902 | 4 | 1731 | bnb: **1122** ; knapsack: **49** ; Total: **1171** | 0.00000713 | 7.99987266 | 0.204554488278 | 0.426189952167 | 0.26013946 | 0.0000896414403859 | -0.00123080000 | 0.25890866000 | 1 | 62 | 2.24672639559 | 2.57043782331 | knapsack: **854** ; srd: **926** ; bnb: **1122** |
| bustabit-2019-2020-tiny.csv | 444.50741728 | 956.119500000 | 1844 | 6926 | 6919 | 3074 | 4 | 1836 | bnb: **1184** ; knapsack: **54** ; Total: **1238** | 0.00000713 | 7.99987266 | 0.200840273448 | 0.419308723830 | 0.27229741 | 0.0000885808100195 | -0.00125392000 | 0.27104349000 | 1 | 62 | 2.25081327261 | 2.60588478727 | knapsack: **907** ; srd: **983** ; bnb: **1184** |
| bustabit-2019-2020-tiny.csv | 380.22580993 | 998.209047619 | 1824 | 7224 | 7361 | 3276 | 4 | 1960 | bnb: **1255** ; knapsack: **61** ; Total: **1316** | 0.00000713 | 7.99987266 | 0.196174092071 | 0.411633511487 | 0.29386111 | 0.0000897011935287 | -0.00124032000 | 0.29262079000 | 1 | 62 | 2.24694749695 | 2.61395079735 | knapsack: **973** ; srd: **1048** ; bnb: **1255** |
| bustabit-2019-2020-tiny.csv | 370.11491020 | 1035.15400000 | 1839 | 7562 | 7783 | 3438 | 4 | 2059 | bnb: **1316** ; knapsack: **63** ; Total: **1379** | 0.00000713 | 7.99987266 | 0.193402100146 | 0.406001561166 | 0.30674793 | 0.0000892227835951 | -0.00125052000 | 0.30549741000 | 1 | 62 | 2.26381617219 | 2.68963455707 | knapsack: **1021** ; srd: **1101** ; bnb: **1316** |
| bustabit-2019-2020-tiny.csv | 382.40838538 | 1071.62208696 | 1925 | 7902 | 8135 | 3598 | 4 | 2157 | bnb: **1375** ; knapsack: **66** ; Total: **1441** | 0.00000713 | 7.99987266 | 0.191491155109 | 0.400451478927 | 0.31824143 | 0.0000884495358533 | -0.00130900000 | 0.31693243000 | 1 | 62 | 2.26097832129 | 2.67017117630 | knapsack: **1064** ; srd: **1159** ; bnb: **1375** |
| bustabit-2019-2020-tiny.csv | 370.76253567 | 1109.50091667 | 2018 | 8232 | 8482 | 3768 | 4 | 2267 | bnb: **1431** ; knapsack: **70** ; Total: **1501** | 0.00000713 | 7.99987266 | 0.190848090543 | 0.396176402103 | 0.33546653 | 0.0000890303954352 | -0.00137224000 | 0.33409429000 | 1 | 62 | 2.25106157113 | 2.63788814713 | knapsack: **1098** ; srd: **1239** ; bnb: **1431** |
| bustabit-2019-2020-tiny.csv | 387.53093930 | 1148.95176000 | 2156 | 8569 | 8779 | 3931 | 4 | 2365 | bnb: **1494** ; knapsack: **72** ; Total: **1566** | 0.00000713 | 7.99987266 | 0.188948089036 | 0.392815016659 | 0.34922694 | 0.0000888392113966 | -0.00146608000 | 0.34776086000 | 1 | 62 | 2.23327397609 | 2.60138384409 | knapsack: **1135** ; srd: **1302** ; bnb: **1494** |
| bustabit-2019-2020-tiny.csv | 396.80884073 | 1188.66784615 | 2200 | 8898 | 9151 | 4102 | 4 | 2452 | bnb: **1572** ; knapsack: **78** ; Total: **1650** | 0.00000713 | 7.99987266 | 0.186943895624 | 0.388480818483 | 0.36456594 | 0.0000888751682106 | -0.00149600000 | 0.36306994000 | 1 | 62 | 2.23086299366 | 2.57387190200 | knapsack: **1181** ; srd: **1349** ; bnb: **1572** |
| bustabit-2019-2020-tiny.csv | 390.52125525 | 1225.85696296 | 2226 | 9186 | 9556 | 4314 | 4 | 2595 | bnb: **1634** ; knapsack: **85** ; Total: **1719** | 0.00000713 | 7.99987266 | 0.185234056216 | 0.382988899382 | 0.38131361 | 0.0000883898029671 | -0.00151368000 | 0.37979993000 | 1 | 62 | 2.21511358368 | 2.55568063336 | knapsack: **1244** ; srd: **1436** ; bnb: **1634** |
| bustabit-2019-2020-tiny.csv | 391.12318149 | 1263.11785714 | 2325 | 9481 | 9892 | 4519 | 5 | 2735 | bnb: **1692** ; knapsack: **92** ; Total: **1784** | 0.00000713 | 7.99987266 | 0.182220152450 | 0.377587692983 | 0.40421057 | 0.0000894469063952 | -0.00158100000 | 0.40262957000 | 1 | 62 | 2.18897986280 | 2.51593466207 | knapsack: **1304** ; srd: **1523** ; bnb: **1692** |
| bustabit-2019-2020-tiny.csv | 388.90316820 | 1300.62910345 | 2402 | 9785 | 10245 | 4715 | 5 | 2861 | bnb: **1760** ; knapsack: **94** ; Total: **1854** | 0.00000713 | 7.99987266 | 0.178296197564 | 0.371800373823 | 0.41998932 | 0.0000890751474019 | -0.00163336000 | 0.41835596000 | 1 | 62 | 2.17285259809 | 2.47722443173 | knapsack: **1357** ; srd: **1598** ; bnb: **1760** |
| bustabit-2019-2020-tiny.csv | 385.79774299 | 1336.29473333 | 2331 | 10050 | 10728 | 4950 | 5 | 3008 | bnb: **1843** ; knapsack: **99** ; Total: **1942** | 0.00000713 | 7.99987266 | 0.175222137181 | 0.367917693913 | 0.43727388 | 0.0000883381575758 | -0.00158508000 | 0.43568880000 | 1 | 62 | 2.16727272727 | 2.44765355333 | knapsack: **1433** ; srd: **1674** ; bnb: **1843** |
----END SIMULATION RESULTS----


