BnB-BOUND-INCREASE,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,14.63828220,127.08,121,10076,13270,5005,7,3315,knapsack: **190** ; bnb: **1500** ; Total: **1690**,0.00000709,9.49986452,0.31809973,0.93376114,0.49673467,0.00009925,0.00082280,0.49755747,1,136,2.65,4.13,knapsack: **1149** ; srd: **2356** ; bnb: **1500**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.64200984,132.83,142,10076,13229,5005,6,3295,knapsack: **228** ; bnb: **1482** ; Total: **1710**,0.00000922,9.87772546,0.30749482,0.91453816,0.49300703,0.00009850,0.00096560,0.49397263,1,117,2.64,4.29,knapsack: **1155** ; srd: **2368** ; bnb: **1482**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.63676279,132.81,148,10076,13204,5005,6,3276,knapsack: **197** ; bnb: **1532** ; Total: **1729**,0.00000956,8.79991234,0.31973444,0.95118261,0.49825408,0.00009955,0.00100640,0.49926048,1,101,2.64,3.85,knapsack: **1106** ; srd: **2367** ; bnb: **1532**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.64099882,145.19,129,10076,13210,5005,6,3263,knapsack: **205** ; bnb: **1537** ; Total: **1742**,0.00000956,9.56589973,0.28144306,0.83884404,0.49401805,0.00009870,0.00087720,0.49489525,1,144,2.64,4.27,knapsack: **1151** ; srd: **2317** ; bnb: **1537**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.64013338,145.72,121,10076,13223,5005,6,3268,knapsack: **213** ; bnb: **1524** ; Total: **1737**,0.00000950,9.87991195,0.28621244,0.90109652,0.49488349,0.00009888,0.00082280,0.49570629,1,160,2.64,4.25,knapsack: **1195** ; srd: **2286** ; bnb: **1524**
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BASELINE,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_2019-2020-per-day,14.64005236,136.24,138,10076,13271,5005,6,3333,bnb: **1612** ; knapsack: **60** ; Total: **1672**,0.00000878,9.95698160,0.31427321,0.94377563,0.49496451,0.00009889,0.00093840,0.49590291,1,119,2.65,4.09,srd: **2405** ; knapsack: **988** ; bnb: **1612**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.63782782,134.98,122,10076,13285,5005,6,3331,bnb: **1615** ; knapsack: **59** ; Total: **1674**,0.00000938,9.99596443,0.29486127,0.90027630,0.49718905,0.00009934,0.00082960,0.49801865,1,110,2.65,4.11,knapsack: **1020** ; bnb: **1615** ; srd: **2370**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.63819701,137.23,121,10076,13279,5005,6,3324,bnb: **1629** ; knapsack: **52** ; Total: **1681**,0.00000781,9.99475510,0.32210765,0.97031593,0.49681986,0.00009926,0.00082280,0.49764266,1,125,2.65,3.92,knapsack: **1005** ; bnb: **1629** ; srd: **2371**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.63959962,137.20,122,10076,13296,5005,6,3342,bnb: **1584** ; knapsack: **79** ; Total: **1663**,0.00000691,9.96889655,0.31176182,0.93946014,0.49541725,0.00009898,0.00082960,0.49624685,1,122,2.66,4.07,knapsack: **1013** ; bnb: **1584** ; srd: **2408**
bustabit-tiny-hot-wallet_2019-2020-per-day,14.64465174,138.34,114,10076,13316,5005,6,3354,bnb: **1598** ; knapsack: **53** ; Total: **1651**,0.00000579,9.91998190,0.30506541,0.93232806,0.49036513,0.00009798,0.00077520,0.49114033,1,170,2.66,4.44,knapsack: **968** ; bnb: **1598** ; srd: **2439**
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BnB-BOUND-INCREASE,Current Balance,Mean #UTXO,Current #UTXO,#Deposits,#Inputs Spent,#Withdraws,#Uneconomical outputs spent,#Change Created,#Changeless,Min Change Value,Max Change Value,Mean Change Value,Std. Dev. of Change Value,Total Fees,Mean Fees per Withdraw,Cost to Empty (10 sat/vB),Total Cost,Min Input Size,Max Input Size,Mean Input Size,Std. Dev. of Input Size,Usage
bustabit-tiny-hot-wallet_peak-and-tail,15.02793568,33.41,23,10076,14452,5005,8,4399,knapsack: **163** ; bnb: **443** ; Total: **606**,0.00000317,9.99317332,0.24912733,0.89980042,0.10708119,0.00002139,0.00015640,0.10723759,1,52,2.89,3.41,knapsack: **3702** ; srd: **860** ; bnb: **443**
bustabit-tiny-hot-wallet_peak-and-tail,15.02752024,32.76,23,10076,14454,5005,9,4401,knapsack: **190** ; bnb: **414** ; Total: **604**,0.00000336,11.99988195,0.28098547,1.00755190,0.10749663,0.00002148,0.00015640,0.10765303,1,51,2.89,3.39,knapsack: **3731** ; srd: **860** ; bnb: **414**
